Company Name,ESG Rating Website 1,ESG Rating Website 2
"BJ's Wholesale Club Holdings, Inc.",22,30.3
BKW AG,31,39.8
"Black Knight, Inc.",34,19.7
"Blackbaud, Inc.",37,19.1
"BlackLine, Inc.",29,24.5
"BlackRock, Inc.",47,19.1
"Blackstone Mortgage Trust, Inc.",25,16.6
"Block, Inc.",30,19.8
"BNC Korea Co., Ltd.",6,24.7
BNP Paribas SA,72,24.6
"Bohai Leasing Co., Ltd.",20,32.8
Boliden AB,52,23.7
BollorÃ© SE,45,12.5
BONESUPPORT HOLDING AB,33,25.5
Boozt AB,25,22.6
"Boston Properties, Inc.",61,12.4
Bouygues SA,44,35.2
"Box, Inc.",30,23.7
BPER Banca SpA,60,14.7
Brandywine Realty Trust,43,13.2
Branicks Group AG,38,6.8
Bravida Holding AB,28,13.2
"Bread Financial Holdings, Inc.",40,18
Brenntag SE,42,15.4
"Brighthouse Financial, Inc.",27,20.7
Britvic Plc,37,22.2
Broadcom Inc.,28,20
"Broadridge Financial Solutions, Inc.",41,16.7
"Broadstone Net Lease, Inc.",21,16.3
Brookfield Asset Management Ltd.,28,27.4
"Brother Industries, Ltd.",45,14.4
"Brown & Brown, Inc.",24,20.5
BT Group Plc,47,20
"BTG Hotels (Group) Co., Ltd.",8,32.7
Bucher Industries AG,28,21.4
Budimex SA,21,33.2
"Builders FirstSource, Inc.",29,31.6
Bumitama Agri Ltd.,19,33.3
Bunzl Plc,44,17.7
Burberry Group Plc,61,11.1
Burckhardt Compression Holding AG,26,21.3
Bureau Veritas SA,83,10.1
"Burlington Stores, Inc.",37,21.8
BWP Trust,27,14.2
"BWX Technologies, Inc.",32,36.1
"C.H. Robinson Worldwide, Inc.",46,18.3
CA Immobilien Anlagen AG,43,9.6
"Cable One, Inc.",21,16.7
"Cactus, Inc.",25,26.7
Cadeler A/S,13,46.7
Cadence Bank,28,30.6
"Cadence Design Systems, Inc.",47,12
"Caesars Entertainment, Inc.",47,21.9
"Caida Securities Co., Ltd.",15,34.6
"CALBEE, Inc.",30,35.2
California Water Service Group,35,29.4
"Calix, Inc.",23,15.5
Camden Property Trust,26,16.1
Camtek Ltd.,22,21
Canadian Apartment Properties Real Estate Investment Trust,25,14
Canadian Imperial Bank of Commerce,59,15.5
Canadian Western Bank,34,20.3
Canara Bank,20,36.6
CANCOM SE,43,14.8
"Canmax Technologies Co., Ltd.",11,33
Downer EDI ,61,36.9
"Doximity, ",25,21.7
Dr. Lal PathLabs ,20,19.3
Dr. Reddy's Laboratories ,78,26.5
Drax Group,56,23.5
"Dropbox, ",38,18.6
DS Smith,67,14
DSV,53,13
"DT Midstream, ",35,29.8
DTE Energy,37,29.8
Dubai Aerospace Enterprise (DAE) ,31,12.5
Dubai Islamic Bank ,24,30.9
Duke Energy C,57,28.3
Dun,41,12.7
"Dun & Bradstreet Holdings, ",41,22.7
Dustin Grou,34,15.2
DXC Technology,56,15.3
"DXP Enterprises, ",16,25.1
"Dycom Industries, ",27,37.4
Dynapack International Technology C,38,25
"Dynatrace, ",31,23.1
E.O,46,17.6
Eagers Automotive ,22,14.1
"Earthstone Energy, ",23,56.5
East Buy Holding ,26,17.1
East Japan Railway,33,30.4
"East Money Information Co., ",11,27.2
"East West Bancorp, ",25,27.3
"Eastern Air Logistics Co., ",18,24.4
"EastGroup Properties, ",24,13.8
Eastman Chemical,48,24.9
"Eastroc Beverage (Group) Co., ",21,39.5
easyJet,38,25.4
Eaton C,47,23.5
Ebara C,51,26.4
EBOS Group ,27,16.3
Ebro Food,36,28.3
"Eclat Textile Co., ",39,15.6
eClerx Services ,40,18
Eco World Development Group ,31,10.4
Ecopetro,73,27.9
"ECOPRO Co., ",13,38.2
"Ecovacs Robotics Co., ",10,30.5
Edenre,59,17
Edison Internati,43,24.7
EDP Renovávei,78,16.2
eDreams ODIGE,42,16
EFG Holding,17,25.1
EFG Internationa,25,31.2
Eicher Motors ,58,12.9
Eiffag,32,35
"Eisai Co., ",70,26.6
El,59,29.1
El.En.,40,23.6
Elan C,11,27.1
ELAN Microelectronics C,39,22.6
Elasti,37,17.4
Elbit Systems ,49,36.7
Elco ,40,30.4
Elders ,35,29.4
Eldorado Gold C,42,22.1
"Electric Connector Technology Co., ",11,27.1
"Electric Power Development Co., ",39,41.5
Electrolu,59,21
Elekt,45,17.7
Element Fleet Management C,34,20.2
"Elevance Health, ",61,10.6
Elia Group S,41,16.2
Elisa,50,16.4
"Elite Material Co., ",36,20.2
Elkem,61,24
Ellakto,40,29.3
Elmos Semiconducto,21,30.4
Elte,38,33
"EM Systems Co., ",22,22.2
Emaar Properties ,22,26.4
Embassy Office Parks ,67,10.9
Embecta C,32,26.7
Embotelladora Andin,74,23.4
Embracer Grou,36,15.5
Embrae,54,37
"EMCOR Group, ",35,35
Emerson Electric,39,28.4
Emirates NBD Bank ,25,28.1
EML Payments ,18,18.7
Emlak Konut Gayrimenkul Yatirim Ortaklig,14,22.4
Emm,26,31.8
"Empire State Realty Trust, ",46,9.9
Empreendimentos Pague Meno,16,18.1
Empresa Nacional de Telecomunicacione,75,25.9
Empresa Nacional del Petróle,22,41.5
Empresas CMP,80,20.7
Empresas Cope,69,31.4
EMS-Chemie Holdin,28,35.3
Enagá,85,14.8
ENAV,47,17.5
Encavi,39,20.6
Encompass Health C,28,31.7
Endava,43,16.3
"Endeavor Group Holdings, ",18,24.6
Endeavour Mining,55,18.2
Endes,86,17
Enel,84,21.6
Enel América,84,19.6
Enel Chil,86,15.8
Enel Generación Chil,52,25.8
"ENEOS Holdings, ",42,31.7
Energean,41,34.4
Energis,27,33.8
Energy Transfe,19,52.1
"Energy Vault Holdings, ",51,27.8
Enerjisa Enerj,59,19
Enerplus C,45,45.3
Enev,56,39.5
ENGIE Brasil Energi,77,31
Engie Energia Chil,27,32.9
Engro Fertilizers ,25,32.3
Enka Insaat ve Sanay,63,23.8
Enlight Renewable Energy ,15,17.2
ENN Energy Holdings ,63,22.7
"ENN Natural Gas Co., ",50,32
Enovis C,18,34.1
"Enphase Energy, ",31,21.6
Enstar Group ,27,25.2
Entain,60,19.5
"Entegris, ",29,20.1
Entergy C,62,26.7
"Envestnet, ",26,24.5
Envista Holdings C,35,30.7
"EO Technics Co., ",5,23.2
"EOG Resources, ",40,34.1
"EPAM Systems, ",38,28.1
Epiro,46,18.2
EPL ,26,15.4
EPR Proper,16,18.9
EQ,52,16.9
EQT C,42,35.7
Equa,21,22.9
Equatorial Energi,24,29.5
"Equinix, ",59,13.9
Equinor,48,36.9
Equinox Gold C,36,35.9
"Equitable Holdings, ",38,18.5
Equitrans Midstream C,50,30.6
"Equity LifeStyle Properties, ",43,14.2
Equity Residen,54,11.9
Erame,42,27.1
Eregli Demir ve Çelik Fabrikalari,29,37.3
Erie Indemnity,23,27.7
Eroad ,18,14.5
Erste Group Ban,43,16.4
Escorts Kubota ,37,21.1
Espec C,27,15.6
Esprinet,51,6.9
ESR Group ,49,15.5
"ESR Kendall Square REIT Co., ",7,17.7
Essent Group ,24,27.9
"Essential Properties Realty Trust, ",22,17
"Essential Utilities, ",40,24.6
"Essex Property Trust, ",38,13.3
EssilorLuxottic,49,20.4
Essit,71,25.4
"Estun Automation Co., ",18,37.2
"Eternal Materials Co., ",29,22.2
Etihad Etisalat,33,31.2
"Etsy, ",50,21.6
"EuBiologics Co., ",14,44
"euglena Co., ",18,35.2
Euraze,38,16.7
Euroclea,46,25
Euroclear Bank S,46,28
Eurofins Scientifi,39,16.8
Eurona,35,32.5
"Euronet Worldwide, ",28,22.9
Euronex,56,15.4
Eutelsa,40,21.4
EV,39,27.3
EVA Airways C,81,19.2
"EVE Energy Co., ",28,31.6
Everest Group ,29,18.3
Evergrande Property Services Group ,26,19.3
"Evergy, ",48,35.4
Eversource En,50,18.8
Evolutio,24,22.5
Evolution Mining ,54,30
Evonik Industrie,60,19.7
Evoqua Water Technologies C,35,22.2
EVT ,23,15.9
EXACT Sciences C,36,24.5
Exchange Income C,24,27.6
"Exelixis, ",28,24.3
Exelon C,60,22.9
"EXEO Group, ",24,42.3
"ExlService Holdings, ",49,14.7
EXO,27,10.9
"Expeditors International of Washington, ",34,16.6
Experian,51,12.2
"Exponent, ",16,20.8
Expro Group Holding,24,24.6
